Tag_Option,Account_Category,Account_Name,Account_Code,Total
8000030 - تدريب وتطوير تكامل,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8000040 - مكتب ادارة المشاريع تكامل,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8000050 - الاتصال المؤسسي تكامل,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8000060 - منصة قياس الأثر,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8023010 - إنشاء مقار إدارة العمل التطوعي لخدمة ضيوف الرحمن,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8023020 - منهجية عمل تعزز البنية المؤسسية للمنظمات غير الربحية,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,1971.07
8023030 - رفع الوعي الفني لدى منظمات القطاع غير الربحي,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8024010 - مشروع تقديم خدمات تأسيس وتفعيل وحدات ومراكز العمل التطوعي,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8024020 - مشروع الخدمات اللوجستية للعاملين في القطاع غير الربحي,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8024030 - تمكين الجمعيات المتخصصة العاملة في القطاع غير الربحي,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,1153.44
8024040 - تقديم الخدمات اللوجستية للتدريب في برنامج رائد,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8025010 - مشروع العربة,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8025020 - مشروع وزارة الرياضة,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,4168.49
8025030 - تقديم 3000 ساعة عمل تطوعية لموظفين شركة الكهرباء,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8025040 - مصنع الابتكار - اشوكا,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8025050 - حصر الاحتياج التدريبي في منظومة الصحة,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8025060 - مجموعات عمل التطوع التكافلي,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8025070 - سفر الإفطار في الحرم المكي,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
